@id;@lon;@lat;id_node;distance_node;bBox;name;alt_name;short_name;name:fr;local_name;official_name;old_name;amenity;landuse;leisure;office;school:FR;shop
25210307;0.7169000;47.3967000;827;0.0006872614640724737;;Relais Du Rochin;;;;;;;fuel;;;;;convenience
25210772;0.7768262;47.4758609;933;0.005523037014178873;;Relais BP De Meslay;;;;;;;fuel;;;;;convenience
257816658;0.7085959;47.4287137;803;0.00017028752156236947;;Biocoop;;;;;;;;;;;;supermarket
357460703;0.6141421;47.3410797;482;6.158449480069096e-05;;Pharmacie Lemaître;;;;;;;pharmacy;;;;;
357463177;0.6151889;47.3413734;387;0.00021828240881926995;;;;;;;;;library;;;;;laundry
357464659;0.6140925;47.3418300;326;0.000369346449827401;;Centre périscolaire;;;;;;;childcare;;;;primaire;
365352608;0.7070815;47.3615457;253;0.00016017768259246487;;Les Gourmandises de Montjoyeux;;;;;;;;;;;;bakery
365352610;0.7070206;47.3617212;331;6.130130503902598e-05;;Proxi;;;;;;;;;;;;convenience
365352612;0.7066532;47.3616450;60;6.64567528563173e-05;;Le Montjoyeux;;;;;;;;;;;;newsagent
365352614;0.7067665;47.3616708;569;0.0001810410174515568;;Viva la Vie;;;;;;;;;;;;hairdresser
365352621;0.7070592;47.3614931;979;0.00019462522961391396;;Tours Montjoyeux;;;;;;;post_office;;;;;
420375487;0.5548621;47.3853076;230;0.0001543545593736333;;La Maison Chalon;;;;;;;;;;;;bakery
448284244;0.6149836;47.3437069;873;0.00013436565781392955;;Pharmacie des Prés;;;;;;;pharmacy;;;;;
448284253;0.6163335;47.3426216;157;0.0001764780439617573;;Aux Douceurs de Ballan (Campaillette);;;;;;;;;;;;bakery
448284257;0.6131229;47.3405396;558;5.7225256662256534e-05;;Le Cristo;;;;;;;restaurant;;;;;
448306161;0.6346958;47.3559187;329;0.00033319743396500084;;Les Mignardières;;;;;;;restaurant;;;;;
448314707;0.6562260;47.3478769;69;0.00010771304470673;;L'île aux pizzas;;;;;;;fast_food;;;;;
448352456;0.6137386;47.3413552;701;0.00011720554594054861;;Boulangerie Nardeux;;;;;;;;;;;;bakery
452561396;0.6725331;47.3927968;602;0.00017558935047461095;;Les Beaux gosses;;;;;;;restaurant;;;;;
457477894;0.6851880;47.3928276;259;0.00017879197409719616;;Dominique Barbier;;;;;;;;;;;;jewelry
461205651;0.5456217;47.3479757;544;0.0001606168110743102;;Brossard traiteur;;;;;;;;;;;;butcher
461205653;0.5459208;47.3479273;153;0.0002105458144915367;;;;;;;;;;;;;;butcher
461205656;0.5462327;47.3480569;521;0.00012759455317608217;;Spar;;;;;;;;;;;;convenience
461205662;0.5474868;47.3480936;214;0.00013078501443143152;;;;;;;;;atm;;;;;
461205664;0.5479872;47.3482945;123;0.00015981702037019032;;Superette Principale;;;;;;;;;;;;convenience
461205666;0.5479901;47.3481882;967;0.00015187580452426488;;Pharmacie Larché-Noël;;;;;;;pharmacy;;;;;
469249612;0.6162195;47.3426872;616;8.836707531415689e-05;;Xavier Flor;;;;;;;;;;;;florist
469249614;0.6168359;47.3426496;471;0.00014562022524491555;;Intermède;;;;;;;;;;;;hairdresser
492500926;0.6876770;47.3938146;741;0.00017783973121828956;;GrandOptical;;;;;;;;;;;;optician
492503194;0.6887088;47.3910122;121;0.00023686000084673154;;La Mie Câline;;;;;;;fast_food;;;;;bakery
526884961;0.6919607;47.3890539;901;0.000361367292376602;;Détours de Loire;;;;;;;;;;;;bicycle
526890943;0.6811939;47.3907721;824;0.0002588424231055094;;Cycle Genty;;;;;;;;;;;;bicycle
530717204;0.6686434;47.4042064;893;0.00027902318900068716;;Pharmacie Bertolino;;;;;;;pharmacy;;;;;
530717335;0.6679789;47.4098116;665;0.0003481237998187468;;Pharmacie Victor Hugo;;;;;;;pharmacy;;;;;
530717962;0.6640562;47.4033567;219;0.00014870675842644558;;Pizza Jub';;;;;;;fast_food;;;;;
535159208;0.6486896;47.4222550;543;0.0005873923475827901;;École élémentaire Périgourd;;;;;;;school;;;;élémentaire;
549816351;0.6897843;47.3958463;466;5.641427124343178e-05;;Crêperie Bilien;;;;;;Le Bistrot d'Odile Asiya;restaurant;;;;;
549888864;0.6914240;47.3961143;311;0.0003431356874482743;;Le Turon;;;;;;;restaurant;;;;;
617496986;0.7080113;47.3690302;644;8.144427542869584e-05;;Pharmacie des Trois Rivières;;;;;;;pharmacy;;;;;
